"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"","MOUNTING_HOLE","5mm","77mm","5mm","77mm","5mm","77mm","T","0.00",""
"","MOUNTING_HOLE","5mm","5mm","5mm","5mm","5mm","5mm","T","0.00",""
"","MOUNTING_HOLE","67mm","5mm","67mm","5mm","67mm","5mm","T","0.00",""
"","MOUNTING_HOLE","67mm","77mm","67mm","77mm","67mm","77mm","T","0.00",""
"C1","1608_/_0603","27mm","42.75mm","27mm","42mm","27mm","42mm","T","90.00","100nF"
"C2","1608_/_0603","39.25mm","61mm","40mm","61mm","40mm","61mm","T","180.00","10uF"
"C3","1608_/_0603","44.25mm","46mm","45mm","46mm","45mm","46mm","T","180.00","100nF"
"C4","1608_/_0603","29.25mm","61mm","30mm","61mm","30mm","61mm","T","180.00","100nF"
"C5","CONDO_D_10MM","59mm","64mm","59mm","64mm","61.5mm","64mm","T","90.00","470uF"
"C6","CONDO_D_10MM","24mm","14mm","24mm","14mm","24mm","11.5mm","T","0.00","470uF"
"C7","CONDO_D_5MM","15mm","14mm","15mm","14mm","15mm","13mm","T","0.00","10uF"
"C8","CONDO_D_5MM","33mm","16mm","33mm","16mm","32mm","16mm","T","270.00","10uF"
"C9","1608_/_0603","28.35mm","22.4mm","27.6mm","22.4mm","27.6mm","22.4mm","T","360.00","Cap"
"D1","SMA/DO-214AC_21","7.275mm","55mm","9mm","55mm","9mm","55mm","T","180.00","GF1A"
"D2","DIODE_ZENER","8mm","14mm","8mm","14mm","5.79mm","14mm","T","360.00","D Zener 1N5338BRLG"
"D3","3216_/_1206","25.525mm","4mm","27mm","4mm","27mm","4mm","T","180.00","*"
"F1","3216_/_1206","17.475mm","23mm","16mm","23mm","16mm","23mm","T","360.00","MCPFP 5A 125V"
"IR Sensor","IR_SENSOR_CONNECTOR","18mm","42.55mm","18mm","40mm","18mm","40mm","T","90.00","IR_Connector"
"R Pot","POTARD_CONNECTOR","22.45mm","71mm","25mm","71mm","25mm","71mm","T","180.00","Potard_Connector"
"L Pot","POTARD_CONNECTOR","33.45mm","71mm","36mm","71mm","36mm","71mm","T","180.00","Potard_Connector"
"J3","RAPC712BK","8.9mm","20.6mm","12mm","23mm","12mm","23mm","T","270.00","PWR2.5"
"RPi","RPI_CONNECTOR","55.55mm","24mm","53mm","24mm","55.55mm","24mm","T","360.00","RPi_Connector"
"Yaw Servo","SERVO_CONNECTOR","56.45mm","56mm","59mm","56mm","59mm","56mm","T","180.00","Servo_Connector"
"Pitch Servo","SERVO_CONNECTOR","56.45mm","50mm","59mm","50mm","59mm","50mm","T","180.00","Servo_Connector"
"Scan Servo","SERVO_CONNECTOR","56.45mm","44mm","59mm","44mm","59mm","44mm","T","180.00","Servo_Connector"
"R Sonar","SONAR_CONNECTOR","56.825mm","36mm","53mm","36mm","53mm","36mm","T","360.00","Sonar_Connector"
"L Sonar","SONAR_CONNECTOR","56.825mm","29mm","53mm","29mm","53mm","29mm","T","360.00","Sonar_Connector"
"R Eye LED","LEDS_CONNECTOR","44.45mm","71mm","47mm","71mm","47mm","71mm","T","180.00","Leds_Connector"
"L Eye LED","LEDS_CONNECTOR","55.45mm","71mm","58mm","71mm","58mm","71mm","T","180.00","Leds_Connector"
"K1","PE014005","7mm","41mm","7mm","41mm","10.6mm","49.6mm","T","270.00","Relay-SPDT G5V-1"
"P1","RJ11","46mm","9.88mm","46mm","5mm","42.825mm","14.325mm","T","180.00",""
"Q1","SOT23","10.1mm","64mm","9mm","64mm","11.2mm","63.05mm","T","90.00","MOSFET-P ZVP2106A"
"Q2","SOT23","15.1mm","57mm","14mm","57mm","16.2mm","56.05mm","T","90.00","MOSFET-N 2N7002K"
"R1","1608_/_0603","30.75mm","41mm","30mm","41mm","30mm","41mm","T","0.00","10K"
"R2","1608_/_0603","27mm","45.75mm","27mm","45mm","27mm","45mm","T","90.00","1K"
"R3","1608_/_0603","11.25mm","70mm","12mm","70mm","12mm","70mm","T","180.00","1K"
"R4","1608_/_0603","19mm","57.25mm","19mm","58mm","19mm","58mm","T","270.00","1K"
"R5","1608_/_0603","29.65mm","4mm","28.9mm","4mm","28.9mm","4mm","T","360.00","1K"
"R6","1608_/_0603","59mm","39.75mm","59mm","39mm","59mm","39mm","T","90.00","1K"
"R6","1608_/_0603","59mm","32.75mm","59mm","32mm","59mm","32mm","T","90.00","1K"
"R7","1608_/_0603","56.25mm","40mm","57mm","40mm","57mm","40mm","T","180.00","1K"
"R7","1608_/_0603","56.25mm","33mm","57mm","33mm","57mm","33mm","T","180.00","1K"
"R8","1608_/_0603","47.75mm","61mm","47mm","61mm","47mm","61mm","T","0.00","10K"
"U1","SOIC28","36.755mm","53.5mm","38mm","54mm","28.5mm","48.8mm","T","360.00","PIC32MX270F256B"
"U2","SOT-223","27mm","24.7mm","27mm","31mm","24.7mm","24.7mm","T","360.00","Regul LD1117S33TR"
"Marvin v1.0","MARVIN","-37.846mm","-33.02mm","40.8mm","33.8mm","-37.846mm","-33.02mm","T","0.00",""

